accession,length,source_database,fragments
A0A031IVD0,321,unreviewed,"[{""start"": 4, ""end"": 229}]"
A0A031J038,299,unreviewed,"[{""start"": 3, ""end"": 221}]"
A0A031J1B1,319,unreviewed,"[{""start"": 3, ""end"": 184}]"
A0A031J1T4,663,unreviewed,"[{""start"": 321, ""end"": 568}]"
A0A031J2X7,277,unreviewed,"[{""start"": 11, ""end"": 174}]"
A0A031J2Z9,297,unreviewed,"[{""start"": 3, ""end"": 212}]"
A0A031J3J8,221,unreviewed,"[{""start"": 10, ""end"": 113}]"
A0A031J9P4,283,unreviewed,"[{""start"": 8, ""end"": 218}]"
A0A031JQZ6,338,unreviewed,"[{""start"": 7, ""end"": 248}]"
A0A031JTD6,343,unreviewed,"[{""start"": 14, ""end"": 248}]"
A0A031JV38,316,unreviewed,"[{""start"": 13, ""end"": 242}]"
A0A031JZT9,271,unreviewed,"[{""start"": 3, ""end"": 212}]"
A0A031LJ37,354,unreviewed,"[{""start"": 10, ""end"": 254}]"
A0A031LNH5,333,unreviewed,"[{""start"": 2, ""end"": 247}]"
A0A031LPH6,339,unreviewed,"[{""start"": 4, ""end"": 263}]"
A0A031LQW9,303,unreviewed,"[{""start"": 6, ""end"": 225}]"
A0A031LSQ7,385,unreviewed,"[{""start"": 3, ""end"": 291}]"
A0A031LTF9,301,unreviewed,"[{""start"": 3, ""end"": 225}]"
A0A031LU17,314,unreviewed,"[{""start"": 8, ""end"": 172}]"
A0A031WHW3,312,unreviewed,"[{""start"": 4, ""end"": 212}]"
A0A034VMA3,365,unreviewed,"[{""start"": 45, ""end"": 279}]"
A0A034VW24,412,unreviewed,"[{""start"": 63, ""end"": 278}]"
A0A034W414,299,unreviewed,"[{""start"": 6, ""end"": 212}]"
A0A034WFI4,320,unreviewed,"[{""start"": 4, ""end"": 237}]"
A0A034WSA4,372,unreviewed,"[{""start"": 7, ""end"": 248}]"
A0A037Y500,274,unreviewed,"[{""start"": 8, ""end"": 213}]"
A0A037YQG6,660,unreviewed,"[{""start"": 318, ""end"": 566}]"
A0A037ZII4,320,unreviewed,"[{""start"": 3, ""end"": 227}]"
A0A037ZIK4,295,unreviewed,"[{""start"": 16, ""end"": 238}]"
A0A037ZIW2,318,unreviewed,"[{""start"": 4, ""end"": 226}]"
A0A037ZJH2,332,unreviewed,"[{""start"": 6, ""end"": 254}]"
A0A037ZKH3,406,unreviewed,"[{""start"": 3, ""end"": 298}]"
A0A037ZKU9,861,unreviewed,"[{""start"": 518, ""end"": 747}]"
A0A037ZKY6,338,unreviewed,"[{""start"": 3, ""end"": 261}]"
A0A037ZL49,322,unreviewed,"[{""start"": 3, ""end"": 232}]"
A0A037ZLS5,294,unreviewed,"[{""start"": 4, ""end"": 172}]"
A0A037ZM56,326,unreviewed,"[{""start"": 5, ""end"": 210}]"
A0A037ZN02,287,unreviewed,"[{""start"": 3, ""end"": 221}]"
A0A037ZN95,283,unreviewed,"[{""start"": 9, ""end"": 205}]"
A0A045H0Z6,322,unreviewed,"[{""start"": 16, ""end"": 247}]"
A0A045H745,326,unreviewed,"[{""start"": 3, ""end"": 235}]"
A0A045H759,314,unreviewed,"[{""start"": 3, ""end"": 241}]"
A0A045HVH9,376,unreviewed,"[{""start"": 26, ""end"": 256}]"
A0A045I863,364,unreviewed,"[{""start"": 39, ""end"": 207}]"
A0A045IR32,340,unreviewed,"[{""start"": 6, ""end"": 234}]"
A0A045JRZ0,301,unreviewed,"[{""start"": 7, ""end"": 216}]"
A0A051TJG6,328,unreviewed,"[{""start"": 3, ""end"": 230}]"
A0A051TMW4,327,unreviewed,"[{""start"": 16, ""end"": 254}]"
A0A051TRE9,307,unreviewed,"[{""start"": 7, ""end"": 219}]"
A0A051TRW1,297,unreviewed,"[{""start"": 3, ""end"": 77}]"
A0A051TS53,294,unreviewed,"[{""start"": 3, ""end"": 213}]"
A0A051TUF2,307,unreviewed,"[{""start"": 10, ""end"": 216}]"
A0A051TWU5,410,unreviewed,"[{""start"": 3, ""end"": 216}]"
A0A051TZP0,300,unreviewed,"[{""start"": 6, ""end"": 174}]"
A0A051TZU0,865,unreviewed,"[{""start"": 3, ""end"": 158}]"
A0A051U0C4,708,unreviewed,"[{""start"": 3, ""end"": 101}]"
A0A051U112,366,unreviewed,"[{""start"": 6, ""end"": 189}]"
A0A051U3L9,418,unreviewed,"[{""start"": 127, ""end"": 339}]"
A0A051U3Z9,367,unreviewed,"[{""start"": 1, ""end"": 135}, {""start"": 165, ""end"": 272}]"
A0A051U5D2,299,unreviewed,"[{""start"": 1, ""end"": 224}]"
A0A051U5K6,451,unreviewed,"[{""start"": 155, ""end"": 361}]"
A0A051U6U6,323,unreviewed,"[{""start"": 3, ""end"": 234}]"
A0A051U7K7,326,unreviewed,"[{""start"": 5, ""end"": 243}]"
A0A051UG10,339,unreviewed,"[{""start"": 7, ""end"": 232}]"
A0A051UGS9,375,unreviewed,"[{""start"": 25, ""end"": 255}]"
A0A051UGY3,342,unreviewed,"[{""start"": 3, ""end"": 124}, {""start"": 169, ""end"": 271}]"
A0A058Z2L7,353,unreviewed,"[{""start"": 41, ""end"": 283}]"
A0A058Z3G2,496,unreviewed,"[{""start"": 17, ""end"": 279}]"
A0A058Z3R0,368,unreviewed,"[{""start"": 62, ""end"": 268}]"
A0A058Z8B8,1012,unreviewed,"[{""start"": 189, ""end"": 419}]"
A0A058ZC24,238,unreviewed,"[{""start"": 6, ""end"": 166}]"
A0A058ZC35,366,unreviewed,"[{""start"": 7, ""end"": 241}]"
A0A058ZGW5,343,unreviewed,"[{""start"": 24, ""end"": 254}]"
A0A058ZHC4,336,unreviewed,"[{""start"": 4, ""end"": 237}]"
A0A058ZI15,332,unreviewed,"[{""start"": 6, ""end"": 254}]"
A0A058ZJ32,340,unreviewed,"[{""start"": 5, ""end"": 244}]"
A0A058ZJN7,862,unreviewed,"[{""start"": 507, ""end"": 736}]"
A0A058ZJS6,320,unreviewed,"[{""start"": 3, ""end"": 228}]"
A0A058ZLJ4,327,unreviewed,"[{""start"": 5, ""end"": 212}]"
A0A058ZNR6,327,unreviewed,"[{""start"": 4, ""end"": 252}]"
A0A058ZPK3,284,unreviewed,"[{""start"": 3, ""end"": 222}]"
A0A058ZRN6,406,unreviewed,"[{""start"": 3, ""end"": 289}]"
A0A058ZRS7,324,unreviewed,"[{""start"": 8, ""end"": 249}]"
A0A059A1R9,394,unreviewed,"[{""start"": 64, ""end"": 275}]"
A0A059A6U4,316,unreviewed,"[{""start"": 1, ""end"": 238}]"
A0A059A935,277,unreviewed,"[{""start"": 35, ""end"": 269}]"
A0A059A9F3,390,unreviewed,"[{""start"": 20, ""end"": 290}]"
A0A059AJP9,421,unreviewed,"[{""start"": 117, ""end"": 330}]"
A0A059APL7,330,unreviewed,"[{""start"": 9, ""end"": 245}]"
A0A059AQA5,488,unreviewed,"[{""start"": 174, ""end"": 380}]"
A0A059AQK7,268,unreviewed,"[{""start"": 9, ""end"": 245}]"
A0A059AYL2,405,unreviewed,"[{""start"": 89, ""end"": 299}]"
A0A059B1I4,459,unreviewed,"[{""start"": 104, ""end"": 341}]"
A0A059B3W0,382,unreviewed,"[{""start"": 59, ""end"": 276}]"
A0A059B6E3,376,unreviewed,"[{""start"": 30, ""end"": 269}]"
A0A059B8K3,337,unreviewed,"[{""start"": 22, ""end"": 259}]"
A0A059B9J7,323,unreviewed,"[{""start"": 8, ""end"": 245}]"
A0A059BDX1,348,unreviewed,"[{""start"": 50, ""end"": 265}]"
A0A059BF42,320,unreviewed,"[{""start"": 5, ""end"": 242}]"
A0A059BIL1,280,unreviewed,"[{""start"": 11, ""end"": 248}]"
A0A059BIL7,327,unreviewed,"[{""start"": 11, ""end"": 248}]"
A0A059BIM0,325,unreviewed,"[{""start"": 58, ""end"": 298}]"
A0A059BIM5,447,unreviewed,"[{""start"": 133, ""end"": 368}]"
A0A059BIY6,281,unreviewed,"[{""start"": 11, ""end"": 248}]"
A0A059BIZ1,267,unreviewed,"[{""start"": 58, ""end"": 245}]"
A0A059BJ45,324,unreviewed,"[{""start"": 9, ""end"": 246}]"
A0A059BJ49,324,unreviewed,"[{""start"": 8, ""end"": 246}]"
A0A059BJ58,313,unreviewed,"[{""start"": 8, ""end"": 242}]"
A0A059BJ65,284,unreviewed,"[{""start"": 15, ""end"": 205}]"
A0A059BJK2,281,unreviewed,"[{""start"": 11, ""end"": 248}]"
A0A059BJK6,277,unreviewed,"[{""start"": 10, ""end"": 246}]"
A0A059BJK9,249,unreviewed,"[{""start"": 8, ""end"": 199}]"
A0A059BJL2,372,unreviewed,"[{""start"": 58, ""end"": 298}]"
A0A059BK28,327,unreviewed,"[{""start"": 11, ""end"": 248}]"
A0A059BK30,324,unreviewed,"[{""start"": 10, ""end"": 246}]"
A0A059BK39,299,unreviewed,"[{""start"": 58, ""end"": 245}]"
A0A059BP04,666,unreviewed,"[{""start"": 409, ""end"": 535}]"
A0A059BP31,337,unreviewed,"[{""start"": 8, ""end"": 248}]"
A0A059BR70,339,unreviewed,"[{""start"": 3, ""end"": 236}]"
A0A059BRA2,249,unreviewed,"[{""start"": 50, ""end"": 247}]"
A0A059BVU4,287,unreviewed,"[{""start"": 19, ""end"": 210}]"
A0A059BVZ1,340,unreviewed,"[{""start"": 14, ""end"": 258}]"
A0A059BW72,319,unreviewed,"[{""start"": 7, ""end"": 242}]"
A0A059BWN4,319,unreviewed,"[{""start"": 7, ""end"": 242}]"
A0A059BWT0,346,unreviewed,"[{""start"": 14, ""end"": 264}]"
A0A059C0L4,368,unreviewed,"[{""start"": 72, ""end"": 257}]"
A0A059C1F5,436,unreviewed,"[{""start"": 99, ""end"": 336}]"
A0A059C1I6,363,unreviewed,"[{""start"": 72, ""end"": 257}]"
A0A059C3G3,327,unreviewed,"[{""start"": 8, ""end"": 249}]"
A0A059C3G5,311,unreviewed,"[{""start"": 8, ""end"": 212}]"
A0A059C3G9,310,unreviewed,"[{""start"": 8, ""end"": 216}]"
A0A059C3S1,327,unreviewed,"[{""start"": 8, ""end"": 249}]"
A0A059C3T7,39,unreviewed,"[{""start"": 8, ""end"": 37}]"
A0A059C429,327,unreviewed,"[{""start"": 8, ""end"": 249}]"
A0A059C432,320,unreviewed,"[{""start"": 2, ""end"": 242}]"
A0A059C435,327,unreviewed,"[{""start"": 8, ""end"": 249}]"
A0A059C491,327,unreviewed,"[{""start"": 8, ""end"": 249}]"
A0A059C494,327,unreviewed,"[{""start"": 8, ""end"": 249}]"
A0A059C4Y7,286,unreviewed,"[{""start"": 22, ""end"": 208}]"
A0A059C4Z1,327,unreviewed,"[{""start"": 8, ""end"": 249}]"
A0A059C4Z9,286,unreviewed,"[{""start"": 15, ""end"": 208}]"
A0A059C502,40,unreviewed,"[{""start"": 8, ""end"": 37}]"
A0A059CCZ9,350,unreviewed,"[{""start"": 12, ""end"": 274}]"
A0A059CE12,337,unreviewed,"[{""start"": 12, ""end"": 258}]"
A0A059CEF5,337,unreviewed,"[{""start"": 12, ""end"": 258}]"
A0A059CEY0,237,unreviewed,"[{""start"": 5, ""end"": 158}]"
A0A059CGN8,301,unreviewed,"[{""start"": 7, ""end"": 269}]"
A0A059CH17,437,unreviewed,"[{""start"": 100, ""end"": 337}]"
A0A059CI68,294,unreviewed,"[{""start"": 45, ""end"": 172}]"
A0A059CJB4,436,unreviewed,"[{""start"": 99, ""end"": 336}]"
A0A059CJP4,339,unreviewed,"[{""start"": 7, ""end"": 257}]"
A0A059CK07,339,unreviewed,"[{""start"": 11, ""end"": 270}]"
A0A059CKK8,442,unreviewed,"[{""start"": 103, ""end"": 340}]"
A0A059CLV8,483,unreviewed,"[{""start"": 93, ""end"": 381}]"
A0A059CN64,324,unreviewed,"[{""start"": 21, ""end"": 252}]"
A0A059CNX7,432,unreviewed,"[{""start"": 94, ""end"": 328}]"
A0A059CYK0,204,unreviewed,"[{""start"": 41, ""end"": 137}]"
A0A059D3E5,376,unreviewed,"[{""start"": 30, ""end"": 269}]"
A0A059D4R3,361,unreviewed,"[{""start"": 48, ""end"": 286}]"
A0A059D4W8,306,unreviewed,"[{""start"": 41, ""end"": 199}]"
A0A059D5B8,362,unreviewed,"[{""start"": 48, ""end"": 287}]"
A0A059D8V2,375,unreviewed,"[{""start"": 59, ""end"": 296}]"
A0A059D8V6,326,unreviewed,"[{""start"": 11, ""end"": 248}]"
A0A059D9A6,384,unreviewed,"[{""start"": 68, ""end"": 305}]"
A0A059D9J6,327,unreviewed,"[{""start"": 11, ""end"": 249}]"
A0A059D9J8,283,unreviewed,"[{""start"": 59, ""end"": 254}]"
A0A059D9R5,227,unreviewed,"[{""start"": 11, ""end"": 219}]"
A0A059DAB8,288,unreviewed,"[{""start"": 11, ""end"": 133}]"
A0A059DAM3,281,unreviewed,"[{""start"": 16, ""end"": 272}]"
A0A059DB58,386,unreviewed,"[{""start"": 16, ""end"": 286}]"
A0A059DP94,324,unreviewed,"[{""start"": 9, ""end"": 231}]"
A0A059DPU9,329,unreviewed,"[{""start"": 6, ""end"": 215}]"
A0A059DQH7,327,unreviewed,"[{""start"": 3, ""end"": 249}]"
A0A059DQI6,318,unreviewed,"[{""start"": 13, ""end"": 243}]"
A0A059DUG7,334,unreviewed,"[{""start"": 3, ""end"": 234}]"
A0A059DUR7,334,unreviewed,"[{""start"": 7, ""end"": 218}]"
A0A059DVH1,340,unreviewed,"[{""start"": 4, ""end"": 243}]"
A0A059DWF3,325,unreviewed,"[{""start"": 8, ""end"": 247}]"
A0A059DXW2,362,unreviewed,"[{""start"": 19, ""end"": 257}]"
A0A059DY40,345,unreviewed,"[{""start"": 3, ""end"": 237}]"
A0A059DZ32,302,unreviewed,"[{""start"": 5, ""end"": 228}]"
A0A059E777,334,unreviewed,"[{""start"": 6, ""end"": 220}]"
A0A059EB39,334,unreviewed,"[{""start"": 6, ""end"": 220}]"
A0A059EET3,348,unreviewed,"[{""start"": 11, ""end"": 251}]"
A0A059F731,334,unreviewed,"[{""start"": 3, ""end"": 235}]"
A0A059F7U0,297,unreviewed,"[{""start"": 3, ""end"": 214}]"
A0A059F7W2,340,unreviewed,"[{""start"": 4, ""end"": 244}]"
A0A059FAA7,310,unreviewed,"[{""start"": 3, ""end"": 232}]"
A0A059FAB9,325,unreviewed,"[{""start"": 4, ""end"": 246}]"
A0A059FDE9,334,unreviewed,"[{""start"": 7, ""end"": 221}]"
A0A059FDM4,329,unreviewed,"[{""start"": 6, ""end"": 215}]"
A0A059FIW3,271,unreviewed,"[{""start"": 3, ""end"": 212}]"
A0A059FLG5,334,unreviewed,"[{""start"": 3, ""end"": 235}]"
A0A059FLZ9,329,unreviewed,"[{""start"": 6, ""end"": 215}]"
A0A059FMD6,340,unreviewed,"[{""start"": 4, ""end"": 246}]"
A0A059FME1,335,unreviewed,"[{""start"": 7, ""end"": 219}]"
A0A059FNB5,340,unreviewed,"[{""start"": 4, ""end"": 250}]"
A0A059FQ11,284,unreviewed,"[{""start"": 86, ""end"": 196}]"
A0A059FRF9,305,unreviewed,"[{""start"": 7, ""end"": 191}]"
A0A059FS00,307,unreviewed,"[{""start"": 7, ""end"": 226}]"
A0A059FV45,310,unreviewed,"[{""start"": 3, ""end"": 232}]"
A0A059FV67,294,unreviewed,"[{""start"": 17, ""end"": 225}]"
A0A059FV73,330,unreviewed,"[{""start"": 1, ""end"": 231}]"
A0A059FVU9,328,unreviewed,"[{""start"": 5, ""end"": 248}]"
A0A059FWR0,350,unreviewed,"[{""start"": 28, ""end"": 236}]"
A0A059FXE4,322,unreviewed,"[{""start"": 5, ""end"": 223}]"
A0A059FZE1,289,unreviewed,"[{""start"": 5, ""end"": 253}]"
A0A059G3B7,325,unreviewed,"[{""start"": 8, ""end"": 247}]"
A0A059G4E8,334,unreviewed,"[{""start"": 3, ""end"": 237}]"
A0A059G6Q0,338,unreviewed,"[{""start"": 14, ""end"": 250}]"
A0A059GA43,354,unreviewed,"[{""start"": 31, ""end"": 240}]"
A0A059GB87,326,unreviewed,"[{""start"": 4, ""end"": 173}]"
A0A059J219,405,unreviewed,"[{""start"": 82, ""end"": 195}]"
A0A059JCK8,374,unreviewed,"[{""start"": 6, ""end"": 283}]"
A0A059JFK3,379,unreviewed,"[{""start"": 11, ""end"": 238}]"
A0A059JHL7,325,unreviewed,"[{""start"": 4, ""end"": 210}]"
A0A059KFV0,338,unreviewed,"[{""start"": 4, ""end"": 262}]"
A0A059KGV9,339,unreviewed,"[{""start"": 3, ""end"": 248}]"
A0A059KHX4,276,unreviewed,"[{""start"": 14, ""end"": 172}]"
A0A059KJ60,361,unreviewed,"[{""start"": 8, ""end"": 241}]"
A0A059KKB4,336,unreviewed,"[{""start"": 3, ""end"": 226}]"
A0A059KNB9,312,unreviewed,"[{""start"": 10, ""end"": 241}]"
A0A059KNS3,321,unreviewed,"[{""start"": 7, ""end"": 209}]"
A0A059KPI5,311,unreviewed,"[{""start"": 27, ""end"": 232}]"
A0A059KUZ3,300,unreviewed,"[{""start"": 3, ""end"": 223}]"
A0A059KW63,364,unreviewed,"[{""start"": 5, ""end"": 275}]"
A0A059KXY2,323,unreviewed,"[{""start"": 3, ""end"": 250}]"
A0A059KY60,313,unreviewed,"[{""start"": 3, ""end"": 229}]"
A0A059KZ55,285,unreviewed,"[{""start"": 6, ""end"": 218}]"
A0A059KZ75,309,unreviewed,"[{""start"": 6, ""end"": 243}]"
A0A059L1S5,297,unreviewed,"[{""start"": 3, ""end"": 212}]"
A0A059L241,330,unreviewed,"[{""start"": 3, ""end"": 227}]"
A0A059L2R9,325,unreviewed,"[{""start"": 3, ""end"": 252}]"
A0A059L3I8,315,unreviewed,"[{""start"": 6, ""end"": 243}]"
A0A059L3M2,246,unreviewed,"[{""start"": 6, ""end"": 185}]"
A0A059L421,325,unreviewed,"[{""start"": 4, ""end"": 251}]"
A0A059L698,346,unreviewed,"[{""start"": 18, ""end"": 265}]"
A0A059L7E9,274,unreviewed,"[{""start"": 15, ""end"": 178}]"
A0A059L870,663,unreviewed,"[{""start"": 321, ""end"": 568}]"
A0A059LL47,357,unreviewed,"[{""start"": 174, ""end"": 357}]"
A0A059LML6,377,unreviewed,"[{""start"": 24, ""end"": 257}]"
A0A059MWB8,47,unreviewed,"[{""start"": 3, ""end"": 44}]"
A0A059MWY3,352,unreviewed,"[{""start"": 30, ""end"": 274}]"
A0A059N2E4,329,unreviewed,"[{""start"": 3, ""end"": 252}]"
A0A059PCT4,319,unreviewed,"[{""start"": 3, ""end"": 211}]"
A0A059Q1Y5,329,unreviewed,"[{""start"": 5, ""end"": 243}]"
A0A059Q3A7,413,unreviewed,"[{""start"": 21, ""end"": 261}]"
A0A059Q9Q1,314,unreviewed,"[{""start"": 4, ""end"": 212}]"
A0A059TC02,333,reviewed,"[{""start"": 9, ""end"": 241}]"
A0A059U2H3,363,unreviewed,"[{""start"": 6, ""end"": 231}]"
A0A059UCN7,321,unreviewed,"[{""start"": 3, ""end"": 238}]"
A0A059UQ27,310,unreviewed,"[{""start"": 6, ""end"": 243}]"
A0A059V4M0,285,unreviewed,"[{""start"": 7, ""end"": 211}]"
A0A059V533,331,unreviewed,"[{""start"": 3, ""end"": 227}]"
A0A059VQG4,341,unreviewed,"[{""start"": 8, ""end"": 247}]"
A0A059VXK0,341,unreviewed,"[{""start"": 5, ""end"": 249}]"
A0A059VYH2,199,unreviewed,"[{""start"": 2, ""end"": 73}]"
A0A059W5S0,297,unreviewed,"[{""start"": 3, ""end"": 212}]"
A0A059W6E0,331,unreviewed,"[{""start"": 17, ""end"": 257}]"
A0A059W8Y9,385,unreviewed,"[{""start"": 40, ""end"": 251}]"
A0A059W9M5,349,unreviewed,"[{""start"": 5, ""end"": 237}]"
A0A059WD66,319,unreviewed,"[{""start"": 3, ""end"": 222}]"
A0A059WGR8,250,unreviewed,"[{""start"": 17, ""end"": 177}]"
A0A059WPE5,174,unreviewed,"[{""start"": 3, ""end"": 136}]"
A0A059WQU7,223,unreviewed,"[{""start"": 3, ""end"": 114}]"
A0A059WRD9,267,unreviewed,"[{""start"": 1, ""end"": 158}]"
A0A059WSP6,258,unreviewed,"[{""start"": 1, ""end"": 158}]"
A0A059WT61,258,unreviewed,"[{""start"": 24, ""end"": 147}]"
A0A059WU62,268,unreviewed,"[{""start"": 1, ""end"": 158}]"
A0A059WZ36,158,unreviewed,"[{""start"": 8, ""end"": 58}]"
A0A059X1Q3,284,unreviewed,"[{""start"": 2, ""end"": 211}]"
A0A059X202,318,unreviewed,"[{""start"": 1, ""end"": 199}]"
A0A059X327,282,unreviewed,"[{""start"": 4, ""end"": 187}]"
A0A059X7K8,307,unreviewed,"[{""start"": 7, ""end"": 223}]"
A0A059X7R2,321,unreviewed,"[{""start"": 13, ""end"": 244}]"
A0A059X890,308,unreviewed,"[{""start"": 1, ""end"": 199}]"
A0A059XMV3,320,unreviewed,"[{""start"": 5, ""end"": 242}]"
A0A059XMW0,660,unreviewed,"[{""start"": 318, ""end"": 566}]"
A0A059XNR0,341,unreviewed,"[{""start"": 3, ""end"": 235}]"
A0A059XQ61,303,unreviewed,"[{""start"": 4, ""end"": 233}]"
A0A059XSM6,321,unreviewed,"[{""start"": 6, ""end"": 245}]"
A0A059XSS7,319,unreviewed,"[{""start"": 5, ""end"": 241}]"
A0A059XTM2,316,unreviewed,"[{""start"": 4, ""end"": 239}]"
A0A059XWT3,313,unreviewed,"[{""start"": 5, ""end"": 233}]"
A0A059XY10,299,unreviewed,"[{""start"": 3, ""end"": 208}]"
A0A059XYB3,336,unreviewed,"[{""start"": 7, ""end"": 231}]"
A0A059XZ25,304,unreviewed,"[{""start"": 3, ""end"": 210}]"
A0A059XZ91,305,unreviewed,"[{""start"": 1, ""end"": 223}]"
A0A059XZW5,348,unreviewed,"[{""start"": 3, ""end"": 242}]"
A0A059ZHK4,271,unreviewed,"[{""start"": 13, ""end"": 163}]"
A0A059ZSD5,312,unreviewed,"[{""start"": 3, ""end"": 230}]"
A0A059ZSW8,327,unreviewed,"[{""start"": 3, ""end"": 228}]"
A0A059ZU16,417,unreviewed,"[{""start"": 5, ""end"": 296}]"
A0A059ZVK5,315,unreviewed,"[{""start"": 8, ""end"": 232}]"
A0A059ZWX8,346,unreviewed,"[{""start"": 5, ""end"": 236}]"
A0A059ZYB1,329,unreviewed,"[{""start"": 4, ""end"": 228}]"
A0A059ZZ55,336,unreviewed,"[{""start"": 7, ""end"": 240}]"
A0A059ZZE9,329,unreviewed,"[{""start"": 2, ""end"": 239}]"
A0A060C3C3,171,unreviewed,"[{""start"": 1, ""end"": 168}]"
A0A060C4D4,97,unreviewed,"[{""start"": 1, ""end"": 97}]"
A0A060C8G4,120,unreviewed,"[{""start"": 12, ""end"": 119}]"
A0A060CAK4,170,unreviewed,"[{""start"": 2, ""end"": 84}]"
A0A060CD04,91,unreviewed,"[{""start"": 3, ""end"": 90}]"
A0A060CF52,167,unreviewed,"[{""start"": 22, ""end"": 158}]"
A0A060CGT4,164,unreviewed,"[{""start"": 7, ""end"": 161}]"
A0A060D452,315,unreviewed,"[{""start"": 1, ""end"": 236}]"
A0A060D4G3,333,unreviewed,"[{""start"": 6, ""end"": 246}]"
A0A060DF63,317,unreviewed,"[{""start"": 3, ""end"": 223}]"
A0A060DI87,325,unreviewed,"[{""start"": 7, ""end"": 238}]"
A0A060DJ28,332,unreviewed,"[{""start"": 6, ""end"": 250}]"
A0A060DK24,327,unreviewed,"[{""start"": 3, ""end"": 253}]"
A0A060DQH1,329,unreviewed,"[{""start"": 6, ""end"": 216}]"
A0A060DQX3,339,unreviewed,"[{""start"": 7, ""end"": 254}]"
A0A060DQZ7,329,unreviewed,"[{""start"": 8, ""end"": 216}]"
A0A060DRD1,328,unreviewed,"[{""start"": 2, ""end"": 249}]"
A0A060DS03,332,unreviewed,"[{""start"": 7, ""end"": 256}]"
A0A060DS96,327,unreviewed,"[{""start"": 20, ""end"": 249}]"
A0A060DSB7,269,unreviewed,"[{""start"": 3, ""end"": 171}]"
A0A060DUY4,359,unreviewed,"[{""start"": 4, ""end"": 278}]"
A0A060DV05,310,unreviewed,"[{""start"": 5, ""end"": 239}]"
A0A060DVD5,319,unreviewed,"[{""start"": 11, ""end"": 245}]"
A0A060DVL8,764,unreviewed,"[{""start"": 364, ""end"": 580}]"
A0A060DWF8,370,unreviewed,"[{""start"": 5, ""end"": 132}, {""start"": 172, ""end"": 278}]"
A0A060E085,314,unreviewed,"[{""start"": 7, ""end"": 236}]"
A0A060H3S2,323,unreviewed,"[{""start"": 3, ""end"": 246}]"
A0A060H7R9,298,unreviewed,"[{""start"": 4, ""end"": 221}]"
A0A060HLU7,344,unreviewed,"[{""start"": 34, ""end"": 263}]"
A0A060HRD1,354,unreviewed,"[{""start"": 12, ""end"": 241}]"
A0A060HST2,323,unreviewed,"[{""start"": 5, ""end"": 178}]"
A0A060HST8,316,unreviewed,"[{""start"": 9, ""end"": 239}]"
A0A060HUU2,340,unreviewed,"[{""start"": 25, ""end"": 251}]"
A0A060HV95,289,unreviewed,"[{""start"": 100, ""end"": 164}]"
A0A060HVA0,326,unreviewed,"[{""start"": 10, ""end"": 218}]"
A0A060HVL2,317,unreviewed,"[{""start"": 3, ""end"": 217}]"
A0A060HWB0,344,unreviewed,"[{""start"": 3, ""end"": 252}]"
A0A060HZ41,309,unreviewed,"[{""start"": 4, ""end"": 226}]"
A0A060HZ51,297,unreviewed,"[{""start"": 5, ""end"": 200}]"
A0A060I004,326,unreviewed,"[{""start"": 3, ""end"": 166}, {""start"": 221, ""end"": 251}]"
A0A060I030,327,unreviewed,"[{""start"": 5, ""end"": 253}]"
A0A060I392,328,unreviewed,"[{""start"": 4, ""end"": 254}]"
A0A060I3X6,317,unreviewed,"[{""start"": 4, ""end"": 227}]"
A0A060I460,338,unreviewed,"[{""start"": 4, ""end"": 231}]"
A0A060I4N8,406,unreviewed,"[{""start"": 3, ""end"": 291}]"
A0A060I4Z4,306,unreviewed,"[{""start"": 3, ""end"": 230}]"
A0A060I6W0,286,unreviewed,"[{""start"": 3, ""end"": 180}]"
A0A060I798,284,unreviewed,"[{""start"": 4, ""end"": 224}]"
A0A060I8W6,343,unreviewed,"[{""start"": 4, ""end"": 232}]"
A0A060I9L0,340,unreviewed,"[{""start"": 3, ""end"": 219}]"
A0A060I9Y2,327,unreviewed,"[{""start"": 3, ""end"": 190}]"
A0A060IAA7,139,unreviewed,"[{""start"": 12, ""end"": 88}]"
A0A060IAE6,328,unreviewed,"[{""start"": 3, ""end"": 211}]"
A0A060ICC4,327,unreviewed,"[{""start"": 6, ""end"": 254}]"
A0A060ICM7,340,unreviewed,"[{""start"": 6, ""end"": 177}]"
A0A060IDC7,367,unreviewed,"[{""start"": 3, ""end"": 275}]"
A0A060IFM7,276,unreviewed,"[{""start"": 4, ""end"": 173}]"
A0A060IGQ8,366,unreviewed,"[{""start"": 10, ""end"": 250}]"
A0A060II87,680,unreviewed,"[{""start"": 331, ""end"": 592}]"
A0A060II91,347,unreviewed,"[{""start"": 13, ""end"": 239}]"
A0A060IIA5,324,unreviewed,"[{""start"": 6, ""end"": 244}]"
A0A060ILJ1,171,unreviewed,"[{""start"": 1, ""end"": 84}]"
A0A060ILJ3,366,unreviewed,"[{""start"": 10, ""end"": 250}]"
A0A060JD74,297,unreviewed,"[{""start"": 3, ""end"": 215}]"
A0A060JH86,343,unreviewed,"[{""start"": 27, ""end"": 275}]"
A0A060LTQ5,313,unreviewed,"[{""start"": 4, ""end"": 209}]"
A0A060LUY7,318,unreviewed,"[{""start"": 3, ""end"": 241}]"
A0A060LVI8,300,unreviewed,"[{""start"": 3, ""end"": 216}]"
A0A060M123,315,unreviewed,"[{""start"": 7, ""end"": 238}]"
